goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.07452715933322906,90,MC,Barcelona,Real Betis,4,0,2015-12-30,1564,2015,96518,0,0,0,0,0.07452715933322906,0.08782413601875305,0.013296976685523987,2144,Alfred N&#039;Diaye
0,2,0.09815268963575363,90,DMC,Real Betis,Sevilla,0,0,2015-12-19,1551,2015,97057,0.017994530498981476,0,1,0,0.09815268963575363,0.09815365821123123,0,2144,Alfred N&#039;Diaye
0,1,0.3443453311920166,63,DMC,Real Betis,Celta Vigo,1,1,2015-12-06,1533,2015,96699,0,0,0,0,0.3443453311920166,0.41142380237579346,0.06707847118377686,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Levante,Real Betis,0,1,2015-11-27,1519,2015,98069,0,0,0,0,0,0.11297518759965897,0.11297518759965897,2144,Alfred N&#039;Diaye
0,1,0.01818651333451271,90,DMC,Real Betis,Atletico Madrid,0,1,2015-11-22,1517,2015,96836,0,0,0,0,0.01818651333451271,0.01818651333451271,0,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Real Betis,Athletic Club,1,3,2015-11-01,1498,2015,95501,0,0,0,0,0,0.135402113199234,0.135402113199234,2144,Alfred N&#039;Diaye
0,1,0.021315759047865868,90,MC,Granada,Real Betis,1,1,2015-10-24,1481,2015,96323,0,0,0,0,0.021315759047865868,0.021315759047865868,0,2144,Alfred N&#039;Diaye
0,3,0.2018110305070877,90,DMC,Real Betis,Espanyol,1,3,2015-10-18,1473,2015,95806,0.09848333895206451,0,1,0,0.2018110305070877,0.05932243913412094,0.04689253866672516,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Rayo Vallecano,Real Betis,0,2,2015-10-04,1465,2015,95015,0,0,0,0,0,0.06719006597995758,0.06719006597995758,2144,Alfred N&#039;Diaye
0,0,0,90,DMC,Sporting Gijon,Real Betis,1,2,2015-09-27,1455,2015,94290,0,0,0,0,0,0.10327331721782684,0.10327331721782684,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Valencia,Real Betis,0,0,2015-09-19,1431,2015,95209,0,0,0,0,0,0.024986473843455315,0.024986473843455315,2144,Alfred N&#039;Diaye
0,0,0,90,MC,Real Betis,Real Sociedad,1,0,2015-09-13,1423,2015,93974,0,0,0,0,0,0.019225439056754112,0.019225439056754112,2144,Alfred N&#039;Diaye
0,0,0,81,MC,Real Madrid,Real Betis,5,0,2015-08-30,1413,2015,93710,0.06259811669588089,0,1,0,0,0,0,2144,Alfred N&#039;Diaye
0,0,0,76,MC,Real Betis,Villarreal,1,1,2015-08-24,1407,2015,93392,0.06030212715268135,0,1,0,0,0.0839805081486702,0.023678377270698547,2144,Alfred N&#039;Diaye
