team_id,gw,second_name,player_id,position,multiplier
41350,30,Brownhill,115,15,0
41350,31,Pope,112,1,1
41350,31,Cancelo,256,2,1
41350,31,Alexander-Arnold,237,3,1
41350,31,Dawson,414,4,1
41350,31,Barnes,215,5,1
41350,31,Brownhill,115,6,1
41350,31,Son,359,7,1
41350,31,Salah,233,8,2
41350,31,Martinelli Silva,26,9,1
41350,31,Kane,357,10,1
41350,31,Broja,518,11,1
41350,31,Ramsdale,559,12,0
41350,31,Tierney,16,13,0
41350,31,Reguilón,370,14,0
41350,31,Hwang,583,15,0
41350,32,Ramsdale,559,1,1
41350,32,Alexander-Arnold,237,2,1
41350,32,Reguilón,370,3,1
41350,32,Schär,305,4,1
41350,32,Cancelo,256,5,1
41350,32,Salah,233,6,1
41350,32,Son,359,7,1
41350,32,Martinelli Silva,26,8,1
41350,32,Barnes,215,9,1
41350,32,Kane,357,10,2
41350,32,Wood,109,11,1
41350,32,Pope,112,12,0
41350,32,Dawson,414,13,0
41350,32,Brownhill,115,14,0
41350,32,Broja,518,15,0
41350,33,Ramsdale,559,1,1
41350,33,Alexander-Arnold,237,2,1
41350,33,Schär,305,3,1
41350,33,Cancelo,256,4,1
41350,33,Salah,233,5,1
41350,33,Son,359,6,1
41350,33,Martinelli Silva,26,7,1
41350,33,Barnes,215,8,1
41350,33,dos Santos Aveiro,579,9,2
41350,33,Wood,109,10,1
41350,33,Broja,518,11,1
41350,33,Pope,112,12,1
41350,33,Telles,279,13,1
41350,33,Targett,39,14,1
41350,33,Brownhill,115,15,1
41350,34,Schmeichel,200,1,1
41350,34,James,142,2,1
41350,34,Alexander-Arnold,237,3,1
41350,34,Robertson,234,4,1
41350,34,Cancelo,256,5,1
41350,34,Mount,138,6,1
41350,34,Havertz,141,7,2
41350,34,Salah,233,8,1
41350,34,Saka,22,9,1
41350,34,Sterling,255,10,1
41350,34,Pukki,315,11,1
41350,34,Foster,376,12,0
41350,34,Nketiah,20,13,0
41350,34,Veltman,62,14,0
41350,34,Gelhardt,577,15,0
41350,35,Foster,376,1,1
41350,35,Cancelo,256,2,1
41350,35,Robertson,234,3,1
41350,35,James,142,4,1
41350,35,Saka,22,5,1
41350,35,Mount,138,6,1
41350,35,Son,359,7,2
41350,35,Salah,233,8,1
41350,35,Havertz,141,9,1
41350,35,Pukki,315,10,1
41350,35,Nketiah,20,11,1
41350,35,Schmeichel,200,12,0
41350,35,Alexander-Arnold,237,13,0
41350,35,Veltman,62,14,0
41350,35,Gelhardt,577,15,0
41350,36,Schmeichel,200,1,1
41350,36,Alexander-Arnold,237,2,1
41350,36,Gato Alves Dias,262,3,1
41350,36,Cancelo,256,4,1
41350,36,James,142,5,1
41350,36,Salah,233,6,2
41350,36,Saka,22,7,1
41350,36,Son,359,8,1
41350,36,Mount,138,9,1
41350,36,Nketiah,20,10,1
