team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
162869,4,93,10,13154,0,0,357,246,100.9,wildcard
162869,5,48,5,5634203,0,0,405,5684,101.5,
162869,6,52,12,1671711,2,0,457,5722,102.2,
162869,7,41,2,3279882,2,4,494,17339,102.3,
162869,8,57,0,2350529,2,4,547,31307,102.5,
162869,9,95,0,738024,2,4,638,34814,102.9,
162869,10,56,4,1214871,2,4,690,33536,103.4,
162869,11,54,5,1471497,0,0,744,48083,103.8,
162869,12,82,4,390869,2,0,826,30781,104.3,
162869,13,65,2,510852,2,4,887,23886,104.5,
162869,14,73,10,1357136,1,0,960,16685,104.9,
162869,15,43,2,4157878,0,0,1003,23784,105.5,
162869,16,75,0,1038814,3,4,1074,21128,105.7,
162869,17,74,0,199930,2,4,1144,14464,105.6,
162869,18,78,0,70237,1,0,1222,4928,105.6,
162869,19,55,0,1069143,1,0,1277,4054,105.7,
162869,20,48,0,1748092,1,0,1325,3599,105.9,
162869,21,95,2,35571,2,4,1416,1756,105.6,
162869,22,94,4,114656,2,4,1506,570,105.8,
162869,23,37,7,3745722,2,4,1539,630,105.9,
162869,24,63,5,2344797,0,0,1602,1159,106.5,
162869,25,78,1,265293,3,4,1676,1029,106.6,
162869,26,133,8,673704,0,0,1809,996,104.9,wildcard
162869,27,51,15,1807940,0,0,1860,1213,105.2,freehit
162869,28,146,0,22695,2,4,2002,168,105.5,bboost
162869,29,84,9,2475240,2,4,2082,462,106.0,
162869,30,52,0,1501350,1,0,2134,524,106.2,
162869,31,59,2,1078340,2,4,2189,444,106.1,
162869,32,93,13,53956,0,0,2282,141,106.3,
162869,33,79,4,1760954,3,4,2357,208,106.2,
162869,34,68,7,1283821,3,8,2417,278,106.1,
162869,35,60,8,1248420,1,0,2477,201,106.1,
162869,36,169,6,32490,2,4,2642,21,105.8,3xc
162869,37,108,21,82041,0,0,2750,7,105.9,freehit
7841,1,79,7,2329403,0,0,79,2329400,100.0,
7841,2,75,3,723866,0,0,154,1067558,100.3,
7841,3,73,3,427631,1,0,227,611740,100.6,
7841,4,58,1,3916082,2,0,285,721597,100.6,
7841,5,55,3,4190948,2,4,336,1024496,100.7,
7841,6,61,2,381453,0,0,397,617290,100.9,
7841,7,51,2,1040066,2,0,448,447153,101.1,
7841,8,73,9,163325,0,0,521,196848,101.2,wildcard
7841,9,93,2,845512,0,0,614,143451,101.7,
7841,10,70,10,151630,1,0,684,46271,102.5,
7841,11,60,28,730607,1,0,744,46598,103.1,
7841,12,84,8,278700,2,0,828,26881,103.7,
7841,13,61,0,870727,1,0,889,20765,104.1,
7841,14,84,2,230153,1,0,973,7036,104.5,
7841,15,64,5,301173,0,0,1037,2657,104.5,
7841,16,64,2,2828671,3,4,1097,5119,104.7,
7841,17,64,0,874703,1,0,1161,5200,104.8,
