id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
16511,True,2021-12-01 19:30:00,229,Wolverhampton Wanderers,WOL,92,Burnley,BUR,0,0,0.711691,0.195537,0.4555,0.4569,0.0876
16514,True,2021-12-01 19:30:00,74,Southampton,SOU,75,Leicester,LEI,2,2,1.91169,1.4401,0.4988,0.2516,0.2496
16506,True,2021-12-01 20:15:00,71,Aston Villa,AVL,88,Manchester City,MCI,1,2,0.772083,1.01897,0.2603,0.3452,0.3945
16507,True,2021-12-01 20:15:00,72,Everton,EVE,87,Liverpool,LIV,1,4,0.512263,2.86067,0.0212,0.0752,0.9036
16515,True,2021-12-02 19:30:00,82,Tottenham,TOT,244,Brentford,BRE,2,0,2.07248,0.225492,0.8964,0.09,0.0136
16512,True,2021-12-02 20:15:00,89,Manchester United,MUN,83,Arsenal,ARS,3,2,1.85597,1.16638,0.5558,0.2561,0.1881
16524,True,2021-12-04 12:30:00,81,West Ham,WHU,80,Chelsea,CHE,3,2,2.0174,1.37049,0.5469,0.238,0.2151
16520,True,2021-12-04 15:00:00,86,Newcastle United,NEW,92,Burnley,BUR,1,0,1.70609,0.604599,0.6761,0.2236,0.1003
16521,True,2021-12-04 15:00:00,74,Southampton,SOU,220,Brighton,BRI,1,1,1.34236,1.4872,0.3101,0.2802,0.4097
16525,True,2021-12-04 15:00:00,229,Wolverhampton Wanderers,WOL,87,Liverpool,LIV,0,1,0.095167,2.42332,0.005,0.0531,0.9419
16523,True,2021-12-04 17:30:00,90,Watford,WAT,88,Manchester City,MCI,1,3,0.675105,4.03223,0.0142,0.0375,0.9483
16518,True,2021-12-05 14:00:00,245,Leeds,LED,244,Brentford,BRE,2,2,1.41896,1.19959,0.4119,0.3026,0.2855
16519,True,2021-12-05 14:00:00,89,Manchester United,MUN,78,Crystal Palace,CRY,1,0,0.870376,0.520593,0.4144,0.379,0.2066
16522,True,2021-12-05 14:00:00,82,Tottenham,TOT,79,Norwich,NOR,3,0,2.00668,1.06562,0.6123,0.2365,0.1512
16516,True,2021-12-05 16:30:00,71,Aston Villa,AVL,75,Leicester,LEI,2,1,1.84818,0.982614,0.6012,0.2298,0.169
16517,True,2021-12-06 20:00:00,72,Everton,EVE,83,Arsenal,ARS,2,1,1.06108,1.05723,0.3397,0.3172,0.3431
16527,True,2021-12-10 20:00:00,244,Brentford,BRE,90,Watford,WAT,2,1,1.82799,0.561554,0.7457,0.1892,0.0651
16534,True,2021-12-11 12:30:00,88,Manchester City,MCI,229,Wolverhampton Wanderers,WOL,1,0,2.99915,0.0762839,0.9707,0.0277,0.0016
16526,True,2021-12-11 15:00:00,83,Arsenal,ARS,74,Southampton,SOU,3,0,2.08429,0.502215,0.7915,0.1533,0.0552
16530,True,2021-12-11 15:00:00,80,Chelsea,CHE,245,Leeds,LED,3,2,2.74844,1.72934,0.6283,0.22,0.1517
16533,True,2021-12-11 15:00:00,87,Liverpool,LIV,71,Aston Villa,AVL,1,0,2.71181,0.140573,0.9577,0.0381,0.0042
16535,True,2021-12-11 17:30:00,79,Norwich,NOR,89,Manchester United,MUN,0,1,0.986107,2.09817,0.1146,0.1998,0.6856
16529,True,2021-12-12 14:00:00,92,Burnley,BUR,81,West Ham,WHU,0,0,0.54801,0.998813,0.1882,0.3477,0.4641
16532,True,2021-12-12 14:00:00,75,Leicester,LEI,86,Newcastle United,NEW,4,0,2.05771,0.511934,0.8223,0.1348,0.0429
16531,True,2021-12-12 16:30:00,78,Crystal Palace,CRY,72,Everton,EVE,3,1,2.09864,1.27556,0.5877,0.2329,0.1794
16541,True,2021-12-14 19:45:00,79,Norwich,NOR,71,Aston Villa,AVL,0,2,0.502647,1.96261,0.0307,0.1634,0.8059
16545,True,2021-12-14 20:00:00,88,Manchester City,MCI,245,Leeds,LED,7,0,3.31349,0.227498,0.9625,0.0336,0.0039
16538,True,2021-12-15 19:30:00,220,Brighton,BRI,229,Wolverhampton Wanderers,WOL,0,1,1.20118,1.11736,0.3704,0.3352,0.2944
16542,True,2021-12-15 19:30:00,78,Crystal Palace,CRY,74,Southampton,SOU,2,2,1.49244,0.625183,0.6182,0.2522,0.1296
