Understat_ID, FPL_ID, Understat_Name, FPL_Name
6350,550,Jayson Molumby,Jayson Molumby
6369,509,Ethan Ampadu,Ethan Ampadu
6377,584,Joe Rodon,Joe Rodon
6418,234,Hamza Choudhury,Hamza Choudhury
6434,-1,Franck Zambo,
6477,153,Cenk Tosun,Cenk Tosun
6492,21,Reiss Nelson,Reiss Nelson
6504,381,Michael Obafemi,Michael Obafemi
6532,326,Martin Dubravka,Martin Dubravka
6736,565,Ibrahima Diallo,Ibrahima Diallo
6822,600,Lee Peltier,Lee Peltier
6840,180,Neeskens Kebano,Neeskens Kebano
6842,71,Alireza Jahanbakhsh,Alireza Jahanbakhsh
6843,56,David Button,David Button
6849,-1,Rui Patrício,
6852,457,Matt Doherty,Matt Doherty
6856,-1,Rúben Vinagre,
6875,547,Rúnar Alex Rúnarsson,Rúnar Alex Rúnarsson
6880,548,Edouard Mendy,Edouard Mendy
6923,479,Mohammed Salisu,Mohammed Salisu
6932,654,Okay Yokuslu,Okay Yokuslu
6962,573,Robin Olsen,Robin Olsen
7077,525,Denis Odoi,Denis Odoi
7078,480,Sean Longstaff,Sean Longstaff
7184,176,Tim Ream,Tim Ream
7187,542,Sergio Reguilón,Sergio Reguilón
7280,378,Yan Valery,Yan Valery
7298,74,Ben White,Ben White
7326,598,Kayne Ramsay,Kayne Ramsay
7332,470,Max Kilman,Max Kilman
7376,652,Ozan Kabak,Ozan Kabak
7383,535,Josh Benson,Josh Benson
7459,583,Will Norris,Will Norris
7589,561,Wesley Fofana,Wesley Fofana
7689,566,Ben Godfrey,Ben Godfrey
7691,513,Jamal Lewis,Jamal Lewis
7702,305,Dean Henderson,Dean Henderson
7703,353,John Egan,John Egan
7704,345,Chris Basham,Chris Basham
7705,-1,Jack O&#039;Connell,
7706,351,George Baldock,George Baldock
7707,347,Enda Stevens,Enda Stevens
7708,355,John Lundstram,John Lundstram
7709,346,John Fleck,John Fleck
7710,349,Oliver Norwood,Oliver Norwood
7724,-1,Wesley,
7817,538,Zack Steffen,Zack Steffen
7904,560,Caoimhin Kelleher,Caoimhin Kelleher
7983,-1,Daniel N&#039;Lundulu,
7988,124,Billy Gilmour,Billy Gilmour
8016,487,Matthew Longstaff,Matthew Longstaff
8040,44,Marvelous Nakamba,Marvelous Nakamba
8045,288,Eric Garcia,Eric Garcia
8075,318,Brandon Williams,Brandon Williams
8109,559,Niels Nkounkou,Niels Nkounkou
