Understat_ID,FPL_ID,Understat_Name,FPL_Name,season
8288,422,Tomas Soucek,Tomas Soucek,2021-22
8327,697,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,2021-22
8379,74,Alexis Mac Allister,Alexis Mac Allister,2021-22
8845,583,Hee-Chan Hwang,Hee-Chan Hwang,2021-22
9738,455,Patson Daka,Patson Daka,2021-22
65,134,Timo Werner,Timo Werner,2021-22
87,310,Joelinton,Joelinton Cássio Apolinário de Lira,2021-22
318,4,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,2021-22
556,281,Marcus Rashford,Marcus Rashford,2021-22
606,149,Christian Benteke,Christian Benteke,2021-22
620,213,Kelechi Iheanacho,Kelechi Iheanacho,2021-22
757,155,Jeffrey Schlupp,Jeffrey Schlupp,2021-22
1621,122,Marcos Alonso,Marcos Alonso,2021-22
2203,43,Emiliano Buendía,Emiliano Buendía Stati,2021-22
2498,259,Aymeric Laporte,Aymeric Laporte,2021-22
3277,6,Alexandre Lacazette,Alexandre Lacazette,2021-22
5595,287,Daniel James,Daniel James,2021-22
6042,343,Jan Bednarek,Jan Bednarek,2021-22
6552,96,Bryan Mbeumo,Bryan Mbeumo,2021-22
6817,274,Fred,Frederico Rodrigues de Paula Santos,2021-22
6851,429,Conor Coady,Conor Coady,2021-22
6853,436,Rúben Neves,Rúben Diogo da Silva Neves,2021-22
6894,517,Mohamed Elyounoussi,Mohamed Elyounoussi,2021-22
8150,503,Anthony Gordon,Anthony Gordon,2021-22
8864,44,Matthew Cash,Matthew Cash,2021-22
8992,131,Hakim Ziyech,Hakim Ziyech,2021-22
9680,84,Vitaly Janelt,Vitaly Janelt,2021-22
10408,696,Luis Díaz,Luis Díaz,2021-22
332,224,Joel Matip,Joel Matip,2021-22
484,235,Divock Origi,Divock Origi,2021-22
672,153,Jordan Ayew,Jordan Ayew,2021-22
675,33,Jack Grealish,Jack Grealish,2021-22
775,482,Andros Townsend,Andros Townsend,2021-22
782,135,Ben Chilwell,Benjamin Chilwell,2021-22
833,229,Virgil van Dijk,Virgil van Dijk,2021-22
1078,81,Sergi Canos,Sergi Canós,2021-22
1653,169,Michael Keane,Michael Keane,2021-22
1654,106,Ben Mee,Ben Mee,2021-22
1688,234,Andrew Robertson,Andrew Robertson,2021-22
1801,76,Pontus Jansson,Pontus Jansson,2021-22
1822,127,Antonio Rüdiger,Antonio Rüdiger,2021-22
2163,190,Diego Llorente,Diego Llorente,2021-22
3288,121,Thiago Silva,Thiago Emiliano da Silva,2021-22
5247,239,Naby Keita,Naby Keita,2021-22
6345,485,Jadon Sancho,Jadon Sancho,2021-22
6615,527,Trevoh Chalobah,Trevoh Chalobah,2021-22
7083,77,Christian Nørgaard,Christian Nørgaard,2021-22
7723,35,John McGinn,John McGinn,2021-22
8239,236,Takumi Minamino,Takumi Minamino,2021-22
8272,404,João Pedro,João Pedro Junqueira de Jesus,2021-22
8300,369,Steven Bergwijn,Steven Bergwijn,2021-22
9679,83,Rico Henry,Rico Henry,2021-22
76,305,Fabian Schär,Fabian Schär,2021-22
239,55,Pascal Groß,Pascal Groß,2021-22
343,365,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,2021-22
500,174,Alex Iwobi,Alex Iwobi,2021-22
534,411,Aaron Cresswell,Aaron Cresswell,2021-22
558,276,Jesse Lingard,Jesse Lingard,2021-22
579,258,Nathan Aké,Nathan Aké,2021-22
593,575,Aaron Lennon,Aaron Lennon,2021-22
605,222,Jordan Henderson,Jordan Henderson,2021-22
614,453,Fernandinho,Fernando Luiz Rosa,2021-22
652,678,Kieran Trippier,Kieran Trippier,2021-22
751,130,N&#039;Golo Kanté,N'Golo Kanté,2021-22
769,291,Jonjo Shelvey,Jonjo Shelvey,2021-22
770,211,Ayoze Pérez,Ayoze Pérez,2021-22
772,354,Moussa Sissoko,Moussa Sissoko,2021-22
804,414,Craig Dawson,Craig Dawson,2021-22
822,189,Patrick Bamford,Patrick Bamford,2021-22
842,335,Oriol Romeu,Oriol Romeu Vidal,2021-22
844,104,Jay Rodriguez,Jay Rodriguez,2021-22
966,227,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,2021-22
985,178,Mason Holgate,Mason Holgate,2021-22
1017,111,Matej Vydra,Matej Vydra,2021-22
1683,298,Ryan Fraser,Ryan Fraser,2021-22
1726,173,Abdoulaye Doucouré,Abdoulaye Doucouré,2021-22
1791,237,Trent Alexander-Arnold,Trent Alexander-Arnold,2021-22
2254,125,Mateo Kovacic,Mateo Kovacic,2021-22
2280,433,Jonny,Jonathan Castro Otto,2021-22
2328,15,Thomas Partey,Thomas Partey,2021-22
3293,362,Lucas Moura,Lucas Rodrigues Moura da Silva,2021-22
3294,269,Edinson Cavani,Edinson Cavani,2021-22
3422,426,João Moutinho,João Filipe Iria Santos Moutinho,2021-22
3491,431,Romain Saiss,Romain Saïss,2021-22
4419,525,Adam Armstrong,Adam Armstrong,2021-22
6122,50,Douglas Luiz,Douglas Luiz Soares de Paulo,2021-22
6249,367,Davinson Sánchez,Davinson Sánchez,2021-22
6441,268,Ferrán Torres,Ferran Torres,2021-22
6630,19,Joe Willock,Joseph Willock,2021-22
6852,360,Matt Doherty,Matt Doherty,2021-22
6893,339,Stuart Armstrong,Stuart Armstrong,2021-22
7052,700,Wout Weghorst,Wout Weghorst,2021-22
7187,370,Sergio Reguilón,Sergio Reguilón,2021-22
7236,434,Leander Dendoncker,Leander Dendoncker,2021-22
7295,516,Joshua Sargent,Joshua Sargent,2021-22
7603,477,Marc Guehi,Marc Guéhi,2021-22
7699,61,Adam Webster,Adam Webster,2021-22
7726,45,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,2021-22
8291,438,Daniel Podence,Daniel Castelo Podence,2021-22
8323,115,Josh Brownhill,Josh Brownhill,2021-22
8716,185,Luke Ayling,Luke Ayling,2021-22
8821,282,Donny van de Beek,Donny van de Beek,2021-22
8934,461,Trincão,Francisco Machado Mota de Castro Trincão,2021-22
8961,262,Rúben Dias,Rúben Santos Gato Alves Dias,2021-22
9339,577,Joe Gelhardt,Joe Gelhardt,2021-22
9524,512,Anthony Elanga,Anthony Elanga,2021-22
9733,451,Nathan Collins,Nathan Collins,2021-22
9734,462,Enock Mwepu,Enock Mwepu,2021-22
9948,464,Michael Olise,Michael Olise,2021-22
204,7,Granit Xhaka,Granit Xhaka,2021-22
229,225,Thiago Alcántara,Thiago Alcántara do Nascimento,2021-22
462,378,Dan Gosling,Dan Gosling,2021-22
508,10,Calum Chambers,Calum Chambers,2021-22
528,409,Angelo Ogbonna,Angelo Ogbonna,2021-22
530,147,James Tomkins,James Tomkins,2021-22
533,406,Mark Noble,Mark Noble,2021-22
553,278,Anthony Martial,Anthony Martial,2021-22
585,165,Seamus Coleman,Seamus Coleman,2021-22
586,252,John Stones,John Stones,2021-22
592,124,Ross Barkley,Ross Barkley,2021-22
645,363,Dele Alli,Bamidele Alli,2021-22
646,699,Christian Eriksen,Christian Eriksen,2021-22
660,364,Ben Davies,Ben Davies,2021-22
681,119,César Azpilicueta,César Azpilicueta,2021-22
712,101,Jack Cork,Jack Cork,2021-22
753,202,Marc Albrighton,Marc Albrighton,2021-22
766,299,Jamaal Lascelles,Jamaal Lascelles,2021-22
790,336,Nathan Redmond,Nathan Redmond,2021-22
807,201,Jonny Evans,Jonny Evans,2021-22
813,591,Salomón Rondón,Salomón Rondón,2021-22
839,519,Shane Long,Shane Long,2021-22
847,5,Cédric Soares,Cédric Soares,2021-22
884,39,Matt Targett,Matt Targett,2021-22
885,342,Kyle Walker-Peters,Kyle Walker-Peters,2021-22
900,435,Adama Traoré,Adama Traoré,2021-22
935,128,Kurt Zouma,Kurt Zouma,2021-22
1014,193,Tyler Roberts,Tyler Roberts,2021-22
1024,38,Tyrone Mings,Tyrone Mings,2021-22
1032,323,Kieran Dowell,Kieran Dowell,2021-22
1042,176,Tom Davies,Tom Davies,2021-22
1123,495,Juraj Kucka,Juraj Kucka,2021-22
